model_name,accuracy_score,recall,precision,f1_score,epochs,batch_size,threshold,noise_std
ExoVetNet-1785042032.4411957,0.9017916390179164,0.824212271973466,0.922077922077922,0.8704028021015762,20,64,0.5,0.03
ExoVetNet-1785042263.615686,0.907100199071002,0.833941605839416,0.9031620553359684,0.8671726755218216,64,64,0.5,0.05
ExoVetNet-1785042596.4267461,0.8911745189117452,0.9028571428571428,0.807495741056218,0.8525179856115108,64,31,0.4,0.03
ExoVetNet-1785077331.5171392,0.9011280690112807,0.8615384615384616,0.8533333333333334,0.8574162679425837,31,64,0.4,0.03
ExoVetNet-1785203117.7650788,0.9079646017699115,0.8910411622276029,0.8618266978922716,0.8761904761904762,31,64,0.4,0.03
ExoVetNet-1785203338.777214,0.8964601769911504,0.9070294784580499,0.8403361344537815,0.8724100327153762,31,64,0.4,0.03
ExoVetNet-1785203465.2495842,0.9026548672566371,0.9054373522458629,0.8454746136865342,0.8744292237442922,64,64,0.4,0.05
ExoVetNet-1785203863.6288657,0.8787610619469026,0.9256594724220624,0.7845528455284553,0.8492849284928493,50,64,0.3,0.05
ExoVetNet-1785204042.3375866,0.8946902654867257,0.8878048780487805,0.8329519450800915,0.859504132231405,38,64,0.4,0.05
ExoVetNet-1785204292.0589356,0.9061946902654867,0.8523809523809524,0.8905472636815921,0.8710462287104623,32,64,0.5,0.0
ExoVetNet-1785204463.8960292,0.9026548672566371,0.9282407407407407,0.8354166666666667,0.8793859649122807,20,64,0.5,0.0
ExoVetNet-1785204709.8149376,0.9221238938053097,0.9379474940334129,0.8637362637362638,0.8993135011441648,20,64,0.5,0.0
ExoVetNet-1785204790.828744,0.8743362831858407,0.9289099526066351,0.7777777777777778,0.8466522678185745,25,64,0.5,0.0
ExoVetNet-1785204983.0743542,0.8946902654867257,0.7990196078431373,0.8980716253443526,0.8456549935149157,23,64,0.78,0.0
ExoVetNet-1785205139.2889485,0.8982300884955752,0.8514851485148515,0.8621553884711779,0.8567870485678705,21,64,0.78,0.0
ExoVetNet-1785205330.3325732,0.8955752212389381,0.8308080808080808,0.8657894736842106,0.8479381443298969,20,64,0.5,0.0
ExoVetNet-1785205613.8146315,0.9008849557522124,0.9058823529411765,0.8424507658643327,0.873015873015873,20,64,0.5,0.03
ExoVetNet-1785205822.6242235,0.9017699115044248,0.8692660550458715,0.8752886836027713,0.8722669735327964,21,64,0.44,0.03
ExoVetNet-1785205910.921624,0.8884955752212389,0.9117647058823529,0.8224489795918367,0.8648068669527897,21,64,0.44,0.05
ExoVetNet-1785205999.0499249,0.8814159292035398,0.9093137254901961,0.7927350427350427,0.8470319634703196,20,64,0.44,0.05
ExoVetNet-1785206479.8934608,0.9017699115044248,0.8661616161616161,0.8553615960099751,0.8607277289836889,20,64,0.44,0.0
ExoVetNet-1785209733.3191495,0.9221238938053097,0.9101941747572816,0.8802816901408451,0.8949880668257757,20,64,0.44,0.03
ExoVetNet-1785209955.603382,0.9008849557522124,0.875,0.854066985645933,0.864406779661017,20,64,0.49,0.03
ExoVetNet-1785259553.666094,0.8930523028883685,0.8312236286919831,0.8736141906873615,0.8518918918918919,20,64,0.49,0.03
ExoVetNet-1785259553.666094,0.8938329430132709,0.8281573498964804,0.8830022075055187,0.8547008547008547,20,64,0.49,0.03
ExoVetNet-1785259553.666094,0.9164715066354411,0.8680089485458613,0.8899082568807339,0.8788221970554927,20,64,0.49,0.03
ExoVetNet-1785259553.666094,0.9117876658860266,0.8755102040816326,0.8918918918918919,0.8836251287332647,20,64,0.49,0.03
