kepid,name,label,period,epoch,duration,depth,p_rad
10797460,K00752.01,1,9.48803557,170.53875,0.12322916666666667,615.8,2.26
10797460,K00752.02,1,54.4183827,162.51384,0.18779166666666663,874.8,2.83
10848459,K00754.01,0,1.736952453,170.307565,0.10026708333333334,8079.2,33.46
10854555,K00755.01,1,2.525591777,171.59555,0.0689375,603.3,2.75
10872983,K00756.01,1,11.09432054,171.20116,0.19143749999999998,1517.5,3.9
10872983,K00756.02,1,4.13443512,172.97937,0.13084166666666666,686.0,2.77
10872983,K00756.03,1,2.56658897,179.55437,0.10120833333333332,226.5,1.59
6721123,K00114.01,0,7.36178958,132.25053,0.20925,233.7,39.21
10910878,K00757.01,1,16.06864674,173.621937,0.14727916666666666,4914.3,5.76
11446443,K00001.01,1,2.470613377,122.763305,0.07263291666666666,14230.9,13.04
10666592,K00002.01,1,2.204735417,121.3585417,0.16202666666666665,6674.7,16.1
6922244,K00010.01,1,3.522498429,121.1194228,0.13326791666666665,9145.7,14.59
10984090,K00112.02,1,3.709214104,133.98318,0.10959166666666666,131.1,1.16
10419211,K00742.01,0,11.521446064,170.839688,0.15166249999999998,17984.3,150.51
10464078,K00743.01,0,19.40393776,172.484253,0.5089791666666666,8918.7,7.18
10480982,K00744.01,0,19.221388942,184.5521637,0.1999345833333333,74284.0,49.29
10485250,K00745.01,0,16.46983774,180.881761,0.3932416666666666,10478.9,7.94
10526549,K00746.01,1,9.27358173,173.258155,0.13697916666666665,1288.3,2.47
10583066,K00747.01,1,6.02930329,171.602959,0.06592083333333333,1912.7,2.85
10583180,K00748.01,0,2.696370652,170.73769,0.1505375,397.9,1.58
10601284,K00749.01,1,5.349553819,171.80694,0.12615833333333332,831.0,2.55
10601284,K00749.02,1,3.94105221,136.08662,0.10826666666666665,363.3,1.7
10601284,K00749.03,1,8.10904807,132.8031,0.14983333333333332,217.4,1.3
2306756,K00113.01,0,386.6030528,166.342079,0.2835708333333333,24926.6,41.5
10662202,K00750.01,1,21.67699193,171.53594,0.14397916666666666,857.2,2.95
10682541,K00751.01,1,4.99677968,171.74208,0.0904875,934.7,2.78
11460018,K00769.01,1,4.280963604,171.89659,0.11979166666666666,750.8,2.3
11463211,K00770.01,0,1.50635409,170.998064,0.06314583333333333,2211.7,4.53
11465813,K00771.01,0,670.645531,209.04355,2.2255,18090.6,14.14
11493732,K00772.01,0,61.2563628,173.83826,0.31804166666666667,5123.3,39.87
11507101,K00773.01,1,38.3775486,172.82048,0.23283333333333334,724.2,2.82
10910878,K00757.02,1,41.19725502,165.00404,0.19290416666666665,2213.9,3.86
10910878,K00757.03,1,6.252962249,171.30126,0.10757916666666667,1036.9,2.65
10987985,K00758.01,1,16.01308419,176.3608,0.13564166666666666,1121.9,3.1
11018648,K00759.01,1,32.62876672,194.1019,0.19987916666666666,1804.8,3.36
11018648,K00759.02,1,91.7732862,193.8378,0.2697083333333333,652.0,2.12
11138155,K00760.01,1,4.959319244,172.2585292,0.09280791666666667,9802.0,12.21
11152159,K00761.01,0,2.701287801,170.69579,0.14094583333333333,860.4,6.54
11153539,K00762.01,1,4.49876511,171.34905,0.155675,460.0,2.1
11242721,K00763.01,0,19.651209505,179.401981,0.21880833333333333,11766.3,12.42
9579641,K00115.01,1,5.412203927,133.143089,0.12279999999999999,601.6,2.94
11304958,K00764.01,1,41.43958662,208.93203,0.44162083333333335,2793.1,5.5
11391957,K00765.01,1,8.35389523,171.63257,0.09380833333333333,1041.6,2.52
11403044,K00766.01,1,4.125543472,169.752585,0.13226666666666664,1487.3,4.43
11414511,K00767.01,1,2.816504904,170.9676846,0.10441124999999998,16813.7,12.21
11442465,K00768.01,0,33.93373447,186.67608,0.6067083333333333,8503.7,7.34
12110942,K00786.01,1,3.689920099,170.36571,0.11065416666666666,426.7,1.89
12366084,K00787.01,1,4.431238488,171.015,0.13124999999999998,1010.9,3.25
12366084,K00787.02,1,11.37936986,133.84992,0.10939583333333333,1023.5,3.95
12404086,K00788.01,1,26.39432897,176.05459,0.14887499999999998,1510.9,3.07
8395660,K00116.01,1,13.57078281,136.279194,0.13974583333333332,511.7,2.64
9579641,K00115.02,1,7.12594387,139.00492,0.12505833333333333,192.4,1.79
11656840,K00774.01,0,7.442652004,169.9717797,0.09615833333333332,24446.2,15.03
11754553,K00775.01,1,16.38489988,172.72782,0.1260375,1127.1,2.0
11754553,K00775.02,1,7.8774163,176.3759,0.08668749999999999,1306.1,2.16
11754553,K00775.03,1,36.4454001,151.60125,0.16695833333333332,1122.3,1.99
11812062,K00776.01,1,3.728732147,171.793255,0.11179166666666665,5226.5,6.02
11853255,K00778.01,1,2.243380573,170.679233,0.04665,821.7,1.99
11909839,K00779.01,0,10.405998015,177.197466,0.2709833333333333,14488.8,11.23
11918099,K00780.01,1,2.337437946,171.761982,0.08325833333333332,971.2,2.34
11923270,K00781.01,1,11.59822233,180.395376,0.10515416666666666,2804.5,2.65
11960862,K00782.01,1,6.575315881,173.634044,0.17951666666666666,2793.3,5.31
12020329,K00783.01,1,7.275040844,169.994217,0.3140708333333333,3001.0,4.86
12066335,K00784.01,1,19.27153892,186.77093,0.114975,1219.8,1.93
12066335,K00784.02,1,10.06524317,136.28906,0.057041666666666664,1053.3,1.91
12070811,K00785.01,1,12.3935651,178.74725,0.16206666666666666,916.6,2.66
8395660,K00116.02,1,43.84439721,151.93538,0.28341666666666665,615.2,2.87
3120431,K00798.01,0,3.341913228,171.63943,0.158875,725.3,21.55
3246984,K00799.01,0,1.626630225,169.820171,0.08810416666666666,1620.6,32.43
3342970,K00800.01,1,2.711504086,170.03417,0.12541249999999998,837.5,3.12
3342970,K00800.02,1,7.21203748,172.81782,0.1687125,950.4,3.32
12459725,K00789.01,0,14.1798187,171.50237,0.104375,459.9,1.88
12470844,K00790.01,1,8.47237911,174.16212,0.11352083333333332,1123.5,2.59
12470844,K00790.02,1,60.4189369,181.16367,0.2099583333333333,931.3,2.36
12644822,K00791.01,1,12.611904345,180.892284,0.21457083333333332,6105.6,7.4
2440757,K00792.01,0,1.433769925,170.403536,0.07861666666666667,1976.3,46.58
2445129,K00793.01,0,10.31872301,173.31543,0.15983333333333333,871.7,28.59
2713049,K00794.01,1,2.539183147,169.67494,0.10117499999999999,382.1,2.06
3114167,K00795.01,1,6.770300385,170.57662,0.08685,1304.0,2.77
3114661,K00796.01,0,0.444291966,169.865406,0.08663333333333334,10967.4,27.51
4139816,K00812.02,1,20.06036336,147.46554,0.13834583333333333,1494.7,1.96
4139816,K00812.03,1,46.1842039,165.23729,0.19824999999999998,1394.7,1.83
8395660,K00116.04,1,23.9800854,147.537,0.22295833333333331,104.0,1.31
4139816,K00812.04,1,7.82502168,136.54995,0.09108333333333332,520.8,1.2
4275191,K00813.01,1,3.895936525,170.527552,0.09629583333333333,8544.8,7.34
4476123,K00814.01,1,22.36646466,175.45862,0.21783333333333332,986.8,2.32
3351888,K00801.01,1,1.625522174,170.8266564,0.09956791666666666,7969.0,9.73
3554600,K00803.01,0,7.544039,171.7982,0.25925,322.6,17.47
3641726,K00804.01,1,9.02930689,177.20422,0.13103749999999997,1019.8,2.57
3734868,K00805.01,0,10.328035714,174.581054,0.3246458333333333,16917.7,13.28
3832474,K00806.01,1,143.2063047,154.23552,0.3720916666666666,10565.7,8.9
8395660,K00116.03,1,6.164876,135.63916,0.13591666666666666,55.8,0.79
3832474,K00806.02,1,60.32494216,243.892578,0.2757833333333333,20280.4,12.19
3832474,K00806.03,1,29.1598615,150.69922,0.200125,488.0,1.91
3836375,K00807.01,0,1.540397253,170.50479,0.08975416666666666,816.1,25.69
3838486,K00808.01,0,2.99025443,171.9834,0.2255833333333333,589.2,1.7
3935914,K00809.01,1,1.594745374,170.6483505,0.08168333333333333,15044.5,11.3
3940418,K00810.01,1,4.783002698,170.508434,0.09729166666666667,1008.7,2.5
4049131,K00811.01,1,20.50588921,181.43428,0.16914583333333333,2105.5,3.41
4139816,K00812.01,1,3.340218842,171.979062,0.0796,1632.6,2.03
5287983,K00828.01,0,2.507089906,171.002455,0.08361249999999999,1339.2,30.26
5358241,K00829.01,1,18.64932728,174.771,0.18356666666666666,893.6,3.12
10875245,K00117.02,1,4.90144976,138.60548,0.17355833333333331,140.7,1.7
5358241,K00829.02,1,9.75192101,138.78608,0.19970833333333332,418.0,2.76
5358241,K00829.03,1,38.5576546,163.85063,0.24141666666666664,993.0,4.02
5358624,K00830.01,1,3.525632539,170.0479951,0.10831625,22335.0,11.58
4664847,K00816.01,1,7.748094239,174.997206,0.14982083333333332,2472.1,5.52
4725681,K00817.01,1,23.96793669,186.22182,0.1594583333333333,1182.3,1.8
4725681,K00817.02,1,8.29561738,135.79284,0.055920833333333336,824.3,1.82
4913852,K00818.01,1,8.11437482,176.33968,0.09473333333333334,1558.0,2.1
4932348,K00819.01,0,38.036729482,196.934947,0.18109041666666664,82871.6,27.5
11913073,K00011.01,0,3.747838198,171.66504,0.2110083333333333,616.0,13.65
10875245,K00117.01,1,14.74914825,138.77799,0.2541458333333333,430.2,2.89
5021899,K00821.01,1,21.81295996,174.01085,0.1824625,1175.4,3.38
5077629,K00822.01,0,7.91936937,172.181092,0.13811666666666667,15148.1,10.34
5164255,K00824.01,1,15.37562369,173.61402,0.13820416666666666,15337.0,11.01
5252423,K00825.01,1,8.10363271,176.9486,0.13170833333333332,887.9,2.11
5252423,K00825.02,1,4.71510843,134.96178,0.10441666666666666,417.5,1.46
5272878,K00826.01,1,6.365839713,171.13575,0.1238375,780.7,2.44
5283542,K00827.01,0,5.97581754,174.77602,0.1277083333333333,962.4,3.86
5649215,K00839.01,0,2.446737317,170.66951,0.19671249999999998,1177.9,26.25
5651104,K00840.01,1,3.04033046,169.9490106,0.07671249999999999,10858.8,8.99
5792202,K00841.01,1,15.33528675,174.00278,0.162375,3081.4,5.0
10875245,K00117.04,1,7.95825328,137.80219,0.18237499999999998,50.0,1.06
5792202,K00841.02,1,31.33046135,153.43031,0.21566666666666667,5073.8,6.5
5370302,K00831.01,0,3.9043425,173.393734,0.159625,16228.4,12.28
5372966,K00832.01,0,9.286358079,171.8214689,0.14581208333333334,44791.4,17.61
5376067,K00833.01,0,3.951405455,173.276125,0.09109166666666665,2453.9,31.44
5436502,K00834.01,1,23.65369415,171.376107,0.3424291666666666,3341.8,7.89
5436502,K00834.02,1,13.23352214,140.32196,0.2807166666666666,504.6,3.06
5436502,K00834.03,1,6.15560285,134.81656,0.20767916666666666,285.0,2.32
5436502,K00834.04,1,2.090811305,134.17462,0.14116666666666666,115.9,1.62
10875245,K00117.03,1,3.180027898,133.49863,0.14915416666666664,120.3,1.53
5436502,K00834.05,1,50.4467417,178.5014,0.2982916666666666,370.3,2.67
5456651,K00835.01,1,11.76307164,180.93613,0.12115,1037.3,2.35
5456651,K00835.02,1,56.2279271,132.29259,0.14875,862.7,2.37
5481416,K00836.01,0,2.384052875,171.58362,0.128825,1268.1,17.06
5531576,K00837.01,1,7.953547,174.66224,0.10963333333333333,875.4,2.25
5531576,K00837.02,1,4.14451656,135.92831,0.0975875,391.8,1.48
5534814,K00838.01,0,4.859386384,173.011469,0.09482083333333333,6044.3,38.33
6291653,K00850.01,1,10.526294577,176.522462,0.10504583333333334,9768.0,8.24
6392727,K00851.01,1,4.583520948,169.973972,0.11272916666666666,3812.1,5.39
6422070,K00852.01,1,3.76181843,171.90364,0.14656666666666665,510.6,2.66
6428700,K00853.01,1,8.20396958,169.69138,0.12361249999999999,1024.4,3.01
6428700,K00853.02,1,14.49645186,143.41659,0.16733333333333333,647.5,3.01
